cve_id,type,title,cvss_score,severity,published,description,references,product,version
CVE-2012-1823,prion,Design/Logic Flaw,5.0,Unknown,2012-05-11T10:15:00,,[],php,
CVE-2011-1092,prion,Integer overflow,7.5,Unknown,2011-03-15T17:55:00,,[],php,
CVE-2015-8876,prion,Design/Logic Flaw,5.0,Unknown,2017-01-11T06:59:00,,[],php,
CVE-2011-3267,cve,CVE-2011-3267,5.0,MEDIUM,2011-08-25T18:00:00,,[],php,
CVE-2013-2110,cve,CVE-2013-2110,5.0,MEDIUM,2013-06-21T20:00:00,,[],php,
CVE-2019-16994,symantec,Linux kernel CVE-2019-16994 Memory Leak Denial of Service Vulnerability,0.0,Unknown,2019-03-02T00:00:00,,[],linux,
CVE-2019-20095,symantec,Linux kernel CVE-2019-20095 Memory Leak Denial of Service Vulnerability,0.0,Unknown,2019-04-04T00:00:00,,[],linux,
CVE-2019-16995,symantec,Linux Kernel CVE-2019-16995 Local Denial of Service Vulnerability,0.0,Unknown,2019-09-30T00:00:00,,[],linux,
CVE-2011-1494,cve,CVE-2011-1494,6.9,MEDIUM,2011-05-03T19:00:00,,[],linux,
CVE-2009-4027,cve,CVE-2009-4027,7.1,HIGH,2009-12-02T16:00:00,,[],linux,
CVE-2016-0714,cve,CVE-2016-0714,8.8,HIGH,2016-02-25T01:00:00,,[],apache,
CVE-2020-13943,cve,CVE-2020-13943,4.3,MEDIUM,2020-10-12T13:46:47,,[],apache,
CVE-2007-2450,cve,CVE-2007-2450,3.5,LOW,2007-06-14T23:00:00,,[],apache,
CVE-2013-0346,cve,CVE-2013-0346,2.1,LOW,2014-02-15T00:00:00,,[],apache,
CVE-2008-2168,cve,CVE-2008-2168,4.3,MEDIUM,2008-05-13T21:00:00,,[],apache,
CVE-2012-0112,prion,Design/Logic Flaw,4.0,Unknown,2012-01-18T22:55:00,,[],mysql,
CVE-2010-3682,prion,Null pointer dereference,4.0,Unknown,2011-01-11T20:00:00,,[],mysql,
CVE-2012-0087,prion,Design/Logic Flaw,4.0,Unknown,2012-01-18T22:55:00,,[],mysql,
CVE-2006-1516,prion,Design/Logic Flaw,5.0,Unknown,2006-05-05T12:46:00,,[],mysql,
CVE-2011-2262,prion,Design/Logic Flaw,5.0,Unknown,2012-01-18T22:55:00,,[],mysql,
CVE-2000-0834,prion,Design/Logic Flaw,9.3,Unknown,2008-11-12T23:30:00,,[],windows,
CVE-2019-1347,symantec,Microsoft Windows CVE-2019-1347 Denial of Service Vulnerability,0.0,Unknown,2019-10-08T00:00:00,,[],windows,
